0.365	35.909
-0.034	35.060
0.046	36.196
-0.360	36.309
-0.079	35.704
-0.245	34.810
-1.628	34.486
0.129	34.745
-0.074	34.682
-1.052	35.134
0.017	38.005
0.479	35.004
0.064	35.158
0.406	35.263
-0.387	35.691
-0.486	32.776
-0.376	33.455
0.367	35.950
0.946	36.132
0.632	35.057
1.130	35.533
0.662	35.888
0.239	35.021
0.422	36.969
1.271	35.288
0.740	35.597
2.144	34.885
1.827	36.104
1.622	35.794
0.556	34.969
1.503	35.231
1.438	35.071
1.909	34.259
1.968	33.925
2.378	36.205
1.728	35.250
2.029	34.970
2.606	33.585
2.803	35.022
2.695	34.406
2.902	35.340
3.141	33.702
3.160	35.794
4.074	35.334
3.454	34.633
3.384	36.334
3.292	36.768
3.266	35.610
4.006	33.768
3.479	34.632
4.390	35.304
4.147	32.391
5.143	34.513
5.666	35.808
5.039	35.340
5.019	35.579
5.393	36.742
6.130	34.549
6.394	32.542
6.141	35.336
5.997	33.442
6.637	34.399
6.086	34.195
6.322	34.367
7.194	34.312
7.503	35.666
8.140	33.313
7.422	32.886
7.751	33.354
8.082	32.498
9.357	33.942
8.317	32.676
9.807	32.871
8.665	33.301
8.699	34.022
8.536	33.193
10.175	34.278
8.760	32.227
11.276	31.566
11.461	32.612
11.267	32.595
11.941	34.576
11.803	32.493
12.247	32.553
12.944	33.353
12.726	32.444
12.433	32.053
12.781	33.410
13.648	33.786
14.129	31.874
13.830	33.294
14.873	33.621
15.846	33.064
15.475	32.312
14.733	33.498
16.027	31.570
16.238	32.820
16.227	33.991
16.545	32.072
16.833	33.324
17.291	31.635
16.877	32.724
18.037	32.460
17.994	32.875
19.396	33.096
19.270	30.781
19.003	32.536
19.550	30.490
19.154	32.862
20.592	30.948
20.187	32.067
21.923	31.897
21.870	33.658
23.236	31.105
22.732	30.570
22.383	29.973
24.067	30.608
23.693	32.506
22.885	30.579
24.322	31.649
24.478	29.700
24.752	31.748
25.395	31.032
26.024	32.458
26.365	30.264
26.836	31.280
27.338	29.908
27.485	31.173
29.000	30.885
28.403	31.523
28.722	31.041
30.358	31.187
29.662	30.818
30.640	30.973
30.822	30.105
32.158	30.185
31.457	32.586
32.286	30.667
32.245	31.816
33.707	29.409
33.055	30.648
33.765	31.206
34.874	28.257
34.513	29.880
35.563	28.945
35.830	30.619
36.356	29.468
37.025	29.538
37.681	29.409
37.752	29.599
39.031	29.733
38.801	-14.847
39.456	-17.056
39.425	-15.548
40.242	-14.725
40.857	-15.097
41.705	-17.259
42.020	-15.512
42.528	-17.034
42.690	-14.218
42.921	-14.057
43.645	-16.163
44.246	-17.107
45.544	-14.794
45.709	-15.828
44.468	-15.878
45.805	-14.955
46.568	-14.495
48.339	-14.785
47.105	-15.364
48.640	-15.626
48.925	-16.736
48.272	-14.516
49.487	-15.434
49.825	-15.271
50.594	-14.104
50.948	-13.338
50.953	-13.989
51.343	-15.507
52.825	-13.523
51.833	-14.987
52.952	-16.318
53.480	-15.490
53.867	-13.046
54.553	-15.989
54.851	-14.230
55.084	-14.743
56.382	-15.493
56.882	-13.109
